Type	Time
ctrl	7.245655
syn1	7.264030
syn2	7.225481
syn3	7.218910
ctrl	7.242082
syn1	7.259116
syn3	7.266129
ctrl	7.257708
syn1	7.277939
ctrl	7.248504
syn1	7.229114
syn2	7.239215
syn3	7.208600
ctrl	7.206377
syn1	7.247793
syn2	7.330405
syn3	7.226936
ctrl	7.261225
syn1	7.254885
syn2	7.247081
syn3	7.244228
ctrl	7.254178
syn1	7.250636
syn2	7.237059
syn3	7.227662
ctrl	7.297768
syn2	7.266129
syn3	7.228388
ctrl	7.216709
syn1	7.245655
syn2	7.261225
syn3	7.268920
ctrl	7.274480
syn1	7.264730
syn3	7.258412
ctrl	7.296413
syn1	7.277939
syn2	7.244942
syn3	7.266827
ctrl	7.217443
syn2	7.284135
syn3	7.299121
ctrl	7.290975
syn1	7.284135
syn2	7.266129
syn3	7.277248
ctrl	7.260523
syn1	7.224025
syn2	7.247793
syn3	7.227662
syn2	7.254178
syn3	7.303170
ctrl	7.202661
syn2	7.259820
syn3	7.244228
syn3	7.277248
ctrl	7.227662
syn1	7.249926
syn2	7.207119
syn3	7.198931
ctrl	7.232010
syn1	7.265430
syn2	7.247081
syn3	7.250636
ctrl	7.152269
syn1	7.184629
syn2	7.261225
syn3	7.178545
ctrl	7.247081
syn1	7.254885
syn2	7.259820
syn3	7.210080
ctrl	7.260523
syn1	7.269617
syn2	7.264030
syn3	7.212294
ctrl	7.241366
syn1	7.286192
syn2	7.271704
syn3	7.213768
ctrl	7.234898
syn1	7.339538
syn2	7.277939
syn3	7.293018
ctrl	7.274480
syn1	7.298445
syn2	7.241366
syn3	7.270313
ctrl	7.243513
syn1	7.249215
syn2	7.318540
syn1	7.263330
syn3	7.244228
ctrl	7.234898
syn1	7.275172
syn2	7.239215
syn3	7.250636
ctrl	7.250636
ctrl	7.234177
syn1	7.251345
syn3	7.247793
ctrl	7.275865
syn2	7.256297
syn3	7.237059
syn2	7.305188
syn3	7.207119
ctrl	7.213768
syn1	7.321189
syn2	7.267525
ctrl	7.260523
syn1	7.248504
syn2	7.237059
syn3	7.270313
ctrl	7.262629
syn1	7.267525
syn3	7.241366
ctrl	7.255591
syn2	7.264730
ctrl	7.270313
syn1	7.266827
syn2	7.255591
ctrl	7.249926
syn1	7.267525
syn2	7.254178
syn3	7.259820
syn1	7.268223
syn2	7.289611
syn1	7.275865
syn2	7.247793
syn3	7.220374
ctrl	7.190676
syn1	7.176255
syn2	7.196687
syn3	7.267525
ctrl	7.218177
syn1	7.232010
syn2	7.239215
syn3	7.232010
ctrl	7.186144
syn2	7.210818
syn3	7.188413
syn1	7.277939
syn2	7.250636
syn3	7.326466
ctrl	7.248504
syn1	7.247081
syn2	7.169350
syn3	7.166266
ctrl	7.273093
syn1	7.257708
syn2	7.271009
syn3	7.247793
ctrl	7.252054
syn1	7.277939
syn2	7.246368
syn3	7.218177
ctrl	7.224753
syn1	7.325149
syn2	7.244228
syn3	7.261927
ctrl	7.251345
syn1	7.249926
syn2	7.323171
syn3	7.261225
ctrl	7.241366
syn1	7.249926
syn2	7.222566
syn3	7.241366
ctrl	7.336937
syn1	7.286876
syn2	7.271009
syn3	7.267525
ctrl	7.240650
ctrl	7.265430
syn1	7.278629
syn2	7.273093
ctrl	7.230563
syn2	7.290293
syn3	7.262629
ctrl	7.223296
syn1	7.309212
syn2	7.259116
syn3	7.245655
ctrl	7.150701
syn1	7.163172
syn2	7.135687
syn3	7.152269
ctrl	7.142827
syn2	7.273093
ctrl	7.269617
syn1	7.285507
syn2	7.227662
syn3	7.262629
ctrl	7.239215
syn1	7.265430
syn3	7.259116
ctrl	7.226936
syn1	7.269617
syn2	7.257003
syn3	7.262629
ctrl	7.259116
syn1	7.266827
syn2	7.254885
syn3	7.220374
syn1	7.303170
syn2	7.267525
ctrl	7.225481
syn1	7.244942
syn2	7.249215
syn3	7.223296
syn1	7.300473
syn2	7.284135
syn3	7.273093
ctrl	7.323831
syn2	7.246368
syn3	7.238497
ctrl	7.265430
syn1	7.242798
syn3	7.262629
ctrl	7.247793
syn1	7.247081
syn2	7.225481
syn3	7.223296
ctrl	7.288244
syn1	7.261225
syn2	7.234898
syn3	7.173192
ctrl	7.286192
syn1	7.269617
syn3	7.268920
ctrl	7.259116
syn1	7.268223
syn2	7.255591
ctrl	7.212294
syn1	7.219642
syn2	7.258412
syn3	7.256297
syn1	7.258412
syn2	7.237059
syn3	7.288244
syn2	7.340836
ctrl	7.303170
syn1	7.290975
syn2	7.266827
syn3	7.292337
ctrl	7.229839
syn3	7.299797
ctrl	7.255591
syn1	7.326466
syn2	7.320527
syn3	7.261225
ctrl	7.257003
syn1	7.300473
syn2	7.346655
syn3	7.275865
ctrl	7.258412
syn1	7.212294
syn2	7.317876
ctrl	7.268223
syn1	7.280697
syn2	7.271704
syn3	7.261225
ctrl	7.258412
syn1	7.292337
syn2	7.288244
syn3	7.342779
ctrl	7.218177
syn1	7.231287
syn2	7.220374
syn3	7.278629
ctrl	7.263330
syn1	7.279319
syn2	7.249215
syn3	7.257003
ctrl	7.239933
syn1	7.326466
syn2	7.261225
syn3	7.263330
ctrl	7.300473
syn1	7.291656
syn3	7.275172
